,Building,Date,Attendance,Year,Month,Week,Lag1,Lag4,Roll4,Delta1,Delta4,IsSummer,IsHolidaySeason,ChurchEvent,IsFastSunday
,Avon 2nd Ward,4/20/2025,202.00,2025.00,4,17,175,153,163.25,13.00,49,0,0,Easter,0
,Avon 2nd Ward,4/27/2025,179.00,2025.00,4,18,202,163,175.5,27.00,16,0,0,None,0
,Avon 2nd Ward,5/4/2025,162.00,2025.00,5,19,179,162,179.5,-23.00,0,0,0,None,1
,Avon 2nd Ward,5/11/2025,155.00,2025.00,5,20,162,175,179.5,-17.00,-20,0,0,Mothers Day,0
,Avon 2nd Ward,5/25/2025,156.00,2025.00,5,22,155,202,174.5,-7.00,-46,0,0,None,0
,Avon 2nd Ward,6/1/2025,141.00,2025.00,6,23,156,179,163,1.00,-38,1,0,None,1
,Avon 2nd Ward,6/8/2025,151.00,2025.00,6,24,141,162,153.5,-15.00,-11,1,0,None,0
,Avon 2nd Ward,6/15/2025,173.00,2025.00,6,25,151,155,150.75,10.00,18,1,0,Fathers Day,0
,Avon 2nd Ward,6/22/2025,138.00,2025.00,6,26,173,156,155.25,22.00,-18,1,0,None,0
,Avon 2nd Ward,6/29/2025,144.00,2025.00,6,27,138,141,150.75,-35.00,3,1,0,None,0
,Avon 2nd Ward,7/6/2025,145.00,2025.00,7,28,144,151,151.5,6.00,-6,1,0,None,1
,Avon 2nd Ward,7/13/2025,170.00,2025.00,7,29,145,173,150,1.00,-3,1,0,None,0
,Avon 2nd Ward,7/20/2025,148.00,2025.00,7,30,170,138,149.25,25.00,10,1,0,None,0
,Avon 2nd Ward,7/27/2025,146.00,2025.00,7,31,148,144,151.75,-22.00,2,1,0,None,0
,Avon 2nd Ward,8/3/2025,170.00,2025.00,8,32,146,145,152.25,-2.00,25,1,0,None,1
,Avon 2nd Ward,8/10/2025,176.00,2025.00,8,33,170,170,158.5,24.00,6,1,0,None,0
,Avon 2nd Ward,8/17/2025,170.00,2025.00,8,34,176,148,160,6.00,22,1,0,None,0
,Avon 2nd Ward,8/24/2025,173.00,2025.00,8,35,170,146,165.5,-6.00,27,1,0,None,0
,Avon 2nd Ward,8/31/2025,173.00,2025.00,8,36,173,170,172.25,3.00,3,1,0,None,0
,Avon 2nd Ward,9/7/2025,187.00,2025.00,9,37,173,176,173,0.00,11,0,0,None,1
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
